major_diameter,pitch,tpi,tap_drill_size,thread_class,thread_name,custom_thread_profile,preset_name,thumb
0.79,0.19,,0.6,BA,16 BA,False,16 BA,16_BA
0.9,0.21,,0.7,BA,15 BA,False,15 BA,15_BA
1,0.23,,0.8,BA,14 BA,False,14 BA,14_BA
1.2,0.25,,1,BA,13 BA,False,13 BA,13_BA
1.3,0.28,,1.1,BA,12 BA,False,12 BA,12_BA
1.5,0.31,,1.2,BA,11 BA,False,11 BA,11_BA
1.52,0.32,80,1.3,UNF,UNF #0-80,False,UNF #0-80,UNF__0-80
1.7,0.35,,1.4,BA,10 BA,False,10 BA,10_BA
1.85,0.35,72,1.6,UNF,UNF #1-72,False,UNF #1-72,UNF__1-72
1.85,0.4,64,1.5,UNC,UNC #1-64,False,UNC #1-64,UNC__1-64
1.9,0.39,,1.6,BA,9 BA,False,9 BA,9_BA
2,0.25,,1.8,Metric Fine,M2×0.25 (Fine),False,M2×0.25 (Fine),M2_0_25__Fine_
2,0.4,,1.6,Metric Coarse,M2×0.4,False,M2×0.4,M2_0_4
2.18,0.4,64,1.8,UNF,UNF #2-64,False,UNF #2-64,UNF__2-64
2.18,0.45,56,1.8,UNC,UNC #2-56,False,UNC #2-56,UNC__2-56
2.2,0.43,,1.8,BA,8 BA,False,8 BA,8_BA
2.5,0.35,,2.2,Metric Fine,M2.5×0.35 (Fine),False,M2.5×0.35 (Fine),M2_5_0_35__Fine_
2.5,0.45,,2.1,Metric Coarse,M2.5×0.45,False,M2.5×0.45,M2_5_0_45
2.5,0.48,,2.1,BA,7 BA,False,7 BA,7_BA
2.51,0.45,56,2.1,UNF,UNF #3-56,False,UNF #3-56,UNF__3-56
2.51,0.53,48,2,UNC,UNC #3-48,False,UNC #3-48,UNC__3-48
2.8,0.53,,2.3,BA,6 BA,False,6 BA,6_BA
2.84,0.53,48,2.4,UNF,UNF #4-48,False,UNF #4-48,UNF__4-48
2.84,0.64,40,2.3,UNC,UNC #4-40,False,UNC #4-40,UNC__4-40
3,0.35,,2.7,Metric Fine,M3×0.35 (Fine),False,M3×0.35 (Fine),M3_0_35__Fine_
3,0.5,,2.5,Metric Coarse,M3×0.5,False,M3×0.5,M3_0_5
3.18,0.58,44,2.6,UNF,UNF #5-44,False,UNF #5-44,UNF__5-44
3.18,0.64,40,2.6,BSW,"BSW 1/8""-40",False,"BSW 1/8""-40",BSW_1_8_-40
3.18,0.64,40,2.6,UNC,UNC #5-40,False,UNC #5-40,UNC__5-40
3.2,0.59,,2.7,BA,5 BA,False,5 BA,5_BA
3.5,0.35,,3.2,Metric Fine,M3.5×0.35 (Fine),False,M3.5×0.35 (Fine),M3_5_0_35__Fine_
3.5,0.6,,2.9,Metric Coarse,M3.5×0.6,False,M3.5×0.6,M3_5_0_6
3.51,0.64,40,2.9,UNF,UNF #6-40,False,UNF #6-40,UNF__6-40
3.51,0.79,32,2.8,UNC,UNC #6-32,False,UNC #6-32,UNC__6-32
3.6,0.66,,3,BA,4 BA,False,4 BA,4_BA
4,0.5,,3.5,Metric Fine,M4×0.5 (Fine),False,M4×0.5 (Fine),M4_0_5__Fine_
4,0.7,,3.3,Metric Coarse,M4×0.7,False,M4×0.7,M4_0_7
4.1,0.73,,3.4,BA,3 BA,False,3 BA,3_BA
4.17,0.71,36,3.5,UNF,UNF #8-36,False,UNF #8-36,UNF__8-36
4.17,0.79,32,3.4,UNC,UNC #8-32,False,UNC #8-32,UNC__8-32
4.7,0.81,,3.9,BA,2 BA,False,2 BA,2_BA
4.76,0.79,32,4,BSF,"BSF 3/16""-32",False,"BSF 3/16""-32",BSF_3_16_-32
